stations,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
2,0.983248627,1.277862012,1.160173561,1.434914504,1.082160013,1.342012532,5.381917201,1.103304151,1.341425971,1.728701925,1.631881245,1.35479236
4,1.022840143,1.026275554,1.088065591,0.922043529,1.365547252,2.055669396,5.148694529,1.617737098,1.539257717,1.197309388,1.123589135,1.100666804
5,1.091953445,0.982931252,1.354014964,1.024534223,1.343904155,2.08386626,1.418514173,1.26857425,1.328371032,1.257726683,1.227941718,1.174628826
6,1.096779686,0.98107054,1.04355216,0.814391045,1.065150868,1.397050162,2.464015045,1.2041756,1.439172124,1.351152512,1.236987596,1.217502324
11,1.251233867,0.995313366,1.192771619,1.239733737,1.578423264,1.308000771,1.545089005,1.305855497,1.468605469,1.112457741,1.236707671,1.327594687
12,1.015688809,1.032850747,1.023810476,1.148663173,1.184808713,1.278467202,1.343916015,1.273282965,1.22543783,1.062958851,1.29019889,1.435215499
13,0.969582133,0.946165075,0.983829279,0.767783219,0.999582504,1.059597295,1.904081519,1.070954439,1.477923295,1.57,1.089997532,1.071256057
15,0.97919156,0.918806614,1.005223315,0.867133761,1.097252428,1.071563692,1.265301899,1.042900992,1.761545171,1.048792683,1.072357346,1.142939306
16,0.979359025,0.949941651,1.03266724,1.036389208,1.230527669,1.151381103,1.282501299,1.336787805,1.859784936,1.159740523,1.146758147,1.002516921
18,1.060844994,1.002316403,0.955665395,0.802040471,1.22337414,1.273907847,1.281437449,1.012108085,2.055456351,1.201981821,1.07312094,1.016745713
19,1.642034762,1.134288496,1.082065866,0.968318745,1.18691742,1.198856089,1.332988307,1.194316913,1.435209806,1.563755769,1.257859964,1.281109972
20,1.02830913,0.993277567,0.925255011,0.800188433,1.122081346,1.456835228,1.507959542,1.131052743,1.466562575,1.057589885,1.043471591,0.996217739
21,1.159192939,1.080535043,0.969459765,0.942433447,1.451874038,1.242641932,1.276492544,1.115750182,1.52271958,1.068319231,0.971544103,1.125524697
22,1.180315482,1.056184914,0.996693071,0.920695268,1.211415382,1.360253286,1.249917698,1.088280252,2.284600706,1.173814404,1.100742997,1.068791939
23,1.279252186,1.104014875,1.028348311,0.967467475,1.065341997,2.003956518,1.909079154,0.986903095,2.689964835,1.132049965,1.106658235,1.101096075
24,1.207741695,1.024181277,1.06614748,0.972935306,1.542794016,1.154622593,1.197517835,1.084971968,1.563295328,1.07093235,0.992803375,1.073750334
25,1.051234241,1.012425717,0.998475998,0.869978991,0.976523809,1.141733415,1.217232745,0.96388847,2.435376335,1.270697074,1.026277125,1.045618727
26,1.30218384,1.052057649,1.0554228,1.014984344,1.122460009,1.10742623,1.269827872,1.508545947,2.239237973,1.221468762,1.28750925,1.257786382
28,1.705252437,1.035949727,0.94969879,0.931780467,2.848902555,1.753139523,1.846202144,1.51585459,1.20107432,1.595628768,1.143774896,1.092706591
29,0.980577011,0.883407341,0.845314499,0.738778262,1.306062839,0.902860146,0.969576236,0.926266847,1.054356027,1.052523245,1.014310724,0.980890685
30,1.222134868,0.951306176,0.875323995,0.792566595,0.802320697,0.934298796,1.08995387,1.079365925,1.124792547,1.229493508,1.142384777,1.209823731
32,0.637310961,0.545732035,0.53108154,0.4400553,0.573175151,0.553705232,0.699811805,0.571945465,0.7662102,0.611339282,0.813470396,0.779910372
33,1.061383099,0.943055484,1.023100233,1.157236653,1.186323647,1.039914213,1.25708976,1.094788759,1.563497075,1.114023377,1.594921606,1.283182595
34,1.202131366,0.942003348,1.012801849,0.953844577,1.056914304,1.071657696,1.151757308,1.155532077,1.292277705,1.236199022,1.229331518,1.460548247
35,0.999231557,1.022139599,1.047870693,1.048632692,1.189152124,1.134580286,1.302330132,1.532312752,1.368642231,1.321750719,1.131562441,1.060975841
36,1.031771166,0.922610572,0.966898076,0.86049852,0.956921146,1.070173031,1.241186083,1.046633745,1.361045892,1.156098029,1.187879324,1.083171052
38,0.879715461,0.945389191,0.881492838,0.833449256,0.889236902,1.030972425,0.949433794,0.936239904,1.484522761,1.04299099,0.95932352,1.011494649
39,1.111276831,1.099692193,0.968544423,1.003671202,1.169693646,1.508392809,1.216706389,1.171905411,1.30231868,1.209635046,1.125870467,1.047660715
40,0.966703025,0.993613738,0.957613831,0.962850025,1.057483676,0.967591561,1.085663949,1.009808078,1.236424406,1.137478117,1.02675727,1.021932722
7,1.013197033,1.20518228,1.174447481,1.381546295,1.16109697,1.439593636,2.739162744,1.154183058,1.330925299,1.365762999,1.257588398,1.180506548
8,1.11185807,0.985506759,1.066888073,0.844858363,1.078302645,1.379351129,2.518532074,1.188507328,1.433985527,1.371722367,1.237008527,1.215925445
9,1.015259326,0.964623123,1.03745425,0.852866763,1.161385133,1.329321743,1.550609739,1.223896243,1.517124256,1.399946452,1.230340101,1.030726517
10,1.031017864,1.059874168,1.011000339,0.926511968,1.024789623,1.221793541,2.185691725,1.169834509,1.38534176,1.257585304,1.378681642,1.149805485
37,0.962807003,1.089853026,0.965203218,1.016359054,1.119863724,1.305579876,1.15374695,1.220122766,1.334519166,1.22638054,1.135971227,1.029474569
