stations,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
2,0.990170551,1.285129363,1.166625498,1.381843798,1.082893832,1.202824352,5.150526888,1.151093893,1.323623729,1.903787298,1.547172346,1.420782853
4,0.997942743,0.997965952,1.109585672,0.912473347,1.221247502,1.914192828,4.271001119,1.626956156,1.865909139,1.353959743,1.150961172,1.089927245
5,1.099696734,1.034817879,1.232616336,1.025903262,1.408564532,1.56929724,1.533727084,1.264373689,1.325806792,1.300319891,1.191343317,1.201936375
6,1.087008689,0.968231408,1.040617879,0.82682035,1.075097156,1.52390826,2.271329055,1.229901652,1.420743076,1.471401777,1.211941396,1.197597993
11,1.204072196,1.04162218,1.162868548,1.156136882,1.562400496,1.317697636,1.68821856,1.261196328,1.305210043,1.312411197,1.196165685,1.246367464
12,1.02583739,1.632386044,1.009164522,1.042213483,1.309084443,1.221580846,1.517532644,1.263705905,1.176262239,1.082461919,1.254385261,1.481304711
13,0.992179668,0.976818862,1.010037894,0.789749949,1.005355707,1.206222597,1.60509171,1.059738216,1.430054537,1.661906965,1.090343609,1.070006818
15,1.001267936,0.934966615,0.996414805,0.911118158,1.279412015,1.056389959,1.247885529,1.029883116,1.448777127,1.065036481,1.039871799,1.126720977
16,0.979932411,1.060560553,1.035881889,1.130565142,1.375122579,1.481578383,1.449263653,1.295840751,1.901129526,1.831847067,1.164173346,1.00669279
18,1.06335495,1.005468041,0.972835236,0.832187241,1.242427126,1.192677726,1.244729031,1.069764148,2.103568409,1.369456838,1.077027661,1.051967356
19,1.428808446,1.103564858,1.054648267,0.971325274,1.218571257,1.264423988,1.324358115,1.153973187,1.279584145,1.461140079,1.240166955,1.264113529
20,1.014710374,1.00091069,0.955896933,0.818314644,1.13032596,1.419220908,1.50405237,1.099696905,1.482069673,1.170770277,1.022807335,1.036451692
21,1.260052776,1.131233052,0.98600157,1.015616752,1.456014544,1.257172943,1.258646644,1.132659192,1.785231545,1.071943065,1.00642268,1.143634118
22,1.134759983,1.06212042,1.033271124,0.961854663,1.242916378,1.244881213,1.212988298,1.090561498,2.137674855,1.292017009,1.077529165,1.071254929
23,1.189523476,1.079698926,1.088808732,0.975366965,1.085385374,1.664546165,1.554368993,1.002113691,2.221709915,1.228449138,1.097603909,1.136589948
24,1.223278097,1.081920947,1.061091364,1.098291376,1.561397008,1.323163643,1.217570062,1.091055754,1.3916371,1.093454545,1.022129917,1.113428079
25,1.049961538,1.027907707,0.984392698,0.908203063,0.978851171,1.108311931,1.187067354,0.961057432,2.2601922,1.330768881,1.055626925,1.058270626
26,1.463391696,1.179343108,1.049699371,1.174100791,1.154072643,1.111677859,1.240174574,1.440243882,2.487859681,1.181402416,1.226967661,1.314061731
28,1.65543527,1.011074705,0.952311277,0.924515141,1.934486349,1.4291853,1.505512872,1.310409581,1.181614666,1.499722184,1.104720288,1.103845087
29,0.945408101,0.888195689,0.864362739,0.725019598,1.038311337,0.91634015,0.985597641,0.950082906,1.061504795,1.056085441,0.972904431,0.989524621
30,1.125286107,0.878690464,0.887093328,0.786681865,0.791791923,0.949655763,1.037425782,1.057007951,1.103363434,1.188947262,1.080813076,1.212414772
32,0.643414074,0.507632194,0.521404439,0.416362102,0.612790965,0.593837841,0.674088598,0.616460044,0.774928407,0.622224465,0.806887324,0.745939425
33,1.04082878,0.931941773,0.989801519,1.028669769,1.323821888,1.140676233,1.413985311,1.101386598,1.474298665,1.204529541,1.458133965,1.281924774
34,1.142236393,0.953057876,0.992622478,0.915520433,1.01396866,1.09339874,1.451576279,1.137778234,1.321430192,1.240523819,1.191427705,1.446752253
35,0.996555505,1.001200756,1.01270045,1.044055919,1.402186381,1.193414116,1.307051024,1.932346921,1.36915252,1.291281992,1.157785018,1.061266745
36,1.056618249,0.933689464,0.963179622,0.826005606,0.950798962,1.134766014,1.294961339,1.017404491,1.457326517,1.173032358,1.178942717,1.143036689
38,0.907766806,0.940868602,0.881904924,0.797381855,1.045659074,1.03217233,0.956501686,0.925855913,1.465789872,1.048623528,0.954973257,1.014846801
39,1.066212138,1.051207801,0.971808047,0.992183,1.169151801,1.414718409,1.18553785,1.126946124,1.26538373,1.232212693,1.066366981,1.0392459
40,1.022578223,0.979358664,0.962660527,0.953846106,1.060839158,1.012091474,1.057932984,1.022202945,1.197105869,1.125643196,1.023189347,1.059193768
7,1.05298917,1.134939074,1.19498947,1.320704356,1.136058172,1.311536487,2.998415079,1.179607453,1.314503698,1.453898278,1.323165831,1.365823579
8,1.083067661,0.969174673,1.051547828,0.834305509,1.082023519,1.508090627,2.316964321,1.222576421,1.425109464,1.480124524,1.210745411,1.196332755
9,1.026882099,1.00484238,1.033958616,0.852792429,1.213094188,1.317096196,1.908131893,1.203874036,1.705891447,1.602803181,1.173327667,1.052219722
10,1.109186299,1.070062724,1.004027601,0.886797858,1.009305781,1.113596579,1.918756525,1.210102463,1.385522907,1.316846383,1.336305018,1.152870657
37,0.992111531,1.039064787,0.966032043,0.987233283,1.118350937,1.269176384,1.175452386,1.445309047,1.291062058,1.249948445,1.092299397,1.034402709
