"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",0.98,2.1692,2.09,2.05,1.1479,1.264,11.1488,1.22,1.1104,3.5162,3.3718,1.38
"4",0.87,0.8282,1.34,0.8703,1.1414,2.01,6.6415,2.64,5.5488,1.42,1.2568,0.9419
"5",2.134,0.79,1.687,0.9441,1.22,2.3622,1.5348,1.38,1.54,1.42,1.2916,1.3
"6",0.9988,0.8715,1.0444,0.9016,1.1529,1.312,1.6851,1.464,1.3497,1.3804,1.2574,1.14
"11",1.9319,0.9678,2.2017,1.06,1.34,1.3008,2.1867,1.38,1.54,2.8903,1.2814,1.3124
"12",1.06,0.9599,1.0252,2.0001,1.2276,1.2473,1.5007,1.6496,1.1108,1.2185,2.0848,1.6022
"13",0.942,0.9129,0.992,0.8256,1.122,1.249,1.5585,1.5991,1.4593,1.57,1.2538,1.0512
"15",1.0277,0.8692,0.9964,0.8508,1.2128,1.25,1.5148,1.3064,1.2804,1.1369,1.2061,1.1
"16",0.9088,0.925,1.1,0.912,2.3397,3.0005,1.69,1.2696,2.09,1.2702,1.3,0.9385
"18",0.9808,0.9222,0.9514,0.905,1.304,1.174,1.5,1.0372,2.05,1.1829,1.0208,1.0552
"19",2.1204,1.141,1.06,0.9772,1.3556,1.9676,1.7296,1.42,1.26,2.4352,1.38,1.46
"20",0.98,0.9798,0.9868,0.9152,1.4192,1.4692,1.5275,1.1987,1.8234,1.1846,1.0696,1.0236
"21",1.3424,1.0536,0.9952,1.0386,1.46,1.3404,1.4786,1.2417,1.7473,1.1095,1.0444,1.094
"22",1.145,1.0656,1.0176,0.9753,1.362,1.2596,1.5,1.0982,1.9452,1.2213,1.0292,1.1024
"23",1.14,1.46,1.0204,0.7672,1.15,1.42,1.85,0.98,2.05,3.23,1.1419,1.42
"24",1.8789,1.3835,1.0608,1.0226,1.58,1.5455,1.4312,1.4592,1.4724,1.174,1.1649,1.2636
"25",1.14,1.4588,1.0236,0.9424,1.2985,1.4324,1.5256,1.2718,2.05,1.2906,1.05,1.1235
"26",1.9696,1.93,1.0574,1.69,1.38,1.5,1.34,2.7451,3.8924,1.4204,1.2628,1.5697
"28",3.4389,1.1,0.8696,0.7116,1.26,1.46,1.5,1.3,1.254,2.0656,1.1273,1.18
"29",1.0072,0.9813,0.8692,0.8031,1.0927,1.2131,1.476,1.2852,1.1747,1.2284,1.0316,1.0684
"30",1.1864,0.9233,0.9305,0.8785,0.9422,1.1561,1.3654,1.1529,1.1526,1.1429,1.1252,1.22
"32",0.9425,1.02,0.9288,0.8907,0.9231,1.0372,1.24,1.0917,1.0876,1.1308,1.0132,1.0134
"33",1.42,0.9504,1.1,0.942,1.0958,1.1967,2.2853,1.18,2.0044,1.2436,2.08,2.07
"34",1.3308,0.9513,1.1316,1.0244,1.2503,1.2912,1.923,1.2644,1.3121,1.2426,1.2494,1.46
"35",0.91,0.9337,0.98,0.9408,1.4576,1.2228,1.4939,4.382,1.61,1.273,1.1339,1.0984
"36",1.18,0.9157,1.14,0.79,0.9418,1.2154,1.54,1.22,1.5,1.2324,1.26,1.1472
"38",0.976,1.1387,0.94,0.98,1.1276,2.3689,1.6053,1.315,1.46,1.4156,0.9585,1.0264
"39",0.9952,1.19,0.9398,0.98,1.0931,2.9426,1.61,1.3,1.4408,1.6873,0.9148,1.0658
"40",1.1417,1.102,1.0068,0.9441,1.3665,1.5402,1.5504,1.3176,1.3317,1.1846,1.0682,1.085
"7",1.1004,1.2968,1.0416,0.8656,1.1846,1.2065,1.4784,1.3802,1.42,1.3812,1.89,1.14
"8",0.9988,0.8715,1.0444,0.9016,1.1529,1.312,1.6851,1.464,1.3497,1.3804,1.2574,1.14
"9",0.9534,0.9239,1.0752,0.9125,1.4408,1.4991,1.6888,1.5498,2.0112,1.57,1.3034,1.0364
"10",1.1,1.2984,1.0067,0.8312,1.0771,1.1832,1.481,1.3808,1.42,1.38,1.89,1.14
"37",1.0222,1.115,0.9404,0.9764,1.2594,2.2555,1.6096,1.338,1.4424,1.5436,1.0128,1.0852
