"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",0.801433200000001,1.36369680000001,1.24661140000001,2.31118740000002,1.0086698,1.0702192,8.27050180000002,1.0601662,1.0084568,2.55559860000001,2.54473300000001,1.54200460000001
"4",0.7560916,0.669150000000001,1.94768400000002,0.616568800000002,0.917051600000003,2.31091700000001,6.21310220000003,2.57465080000002,3.93004940000002,1.2964192,1.1530362,0.832294
"5",1.65115520000001,0.7574412,1.61088920000001,0.931440600000002,2.89681740000003,1.93418680000001,1.242173,1.74289960000001,1.3251636,1.2543554,1.1828028,0.989940200000002
"6",0.87,0.3100016,0.43,0.2400086,0.31,0.63,1.4,0.31,0.98,1.38,0.43,1.14
"11",1.4449898,0.766924000000001,1.90200940000001,1.34948840000001,2.25315660000002,1.2379632,1.863367,1.2935736,2.26896960000003,2.59711740000002,1.1694472,1.1565668
"12",0.962838000000001,2.46913600000004,0.982188,2.37729140000004,1.1090222,1.148287,1.2935398,1.4005746,0.975653,1.041879,1.7305384,1.79502360000001
"13",0.94,0.2800006,0.2000046,0.43,0.2800178,0.83,0.4000348,0.55,0.87,1.57,0.91,0.9068064
"15",0.87,0.39,0.51,0.31,0.87,0.59,1.02,0.83,0.79,1.02,0.43,1.1
"16",0.766516800000001,0.854329000000005,1.55772460000001,1.14528940000001,3.34707060000004,2.26940640000001,1.402527,2.49566020000004,2.12542620000001,2.70173260000003,1.2144996,0.767754400000001
"18",0.91,0.4300088,0.35,0.63,0.98,0.59,0.3100036,0.35,2.05,0.63,1.02,0.91
"19",1.918446,1.10188200000001,1.0427472,0.761569800000001,1.2640144,1.6002714,1.496846,1.2729644,1.0806978,1.71584580000001,1.3605648,1.52329360000001
"20",0.98,0.2800254,0.2800006,0.2400008,0.96,0.75,1.5,0.71,0.8700022,0.98,0.4300056,0.43
"21",0.8300022,0.51,0.55,0.31,1.46,0.47,0.4300024,0.2800044,0.91,0.79,0.87,1.06
"22",0.98,0.59,0.44,0.47,1.18,0.4700024,0.71,0.350004,1.85,1.02,0.83,0.87
"23",1.0761722,1.0327742,0.967784400000001,0.6497104,0.953319400000001,1.71292100000001,3.11379380000004,0.791782600000001,3.07556400000003,2.74823380000002,0.975516400000002,1.3137176
"24",0.71,0.5900064,0.39,0.39,1.58,0.43,0.55,0.1200032,0.94,1.06,0.4300016,1.02
"25",0.98,0.31,0.28,0.28,0.87,0.63,0.3900048,0.55,2.05,0.83,0.63,0.47
"26",1.72186180000001,1.434358,0.931989800000002,1.185146,1.1851738,2.78395860000003,1.1882872,2.13984840000001,4.63030280000003,1.191371,0.992571200000003,1.75762580000001
"28",2.05205280000001,0.814112000000002,0.689904600000001,0.656872,1.98439540000003,1.2361456,1.3804032,1.2350668,1.1614178,1.7009326,1.052308,1.0648134
"29",0.61,0.51,0.35,0.16,0.31,0.0800184000000001,0.28,0.1000282,0.91,0.83,0.91,0.71
"30",0.6700054,0.47,0.2000274,0.24,0.2,0.55,0.71,0.310004,0.94,1.14,0.71,1.22
"32",1.08072000000001,0.795099800000001,1.14079060000001,0.647185200000001,0.71,0.39,0.94,0.47,0.94,0.24,0.94,0.61
"33",1.2072954,0.878945400000001,1.15900080000001,1.1968436,1.0738728,1.0729696,2.11347180000001,1.060129,2.03278540000001,1.0568492,1.61908260000001,2.36422400000001
"34",0.59,0.47,0.31,0.28,0.79,0.75,0.1600248,0.160004,1.26,1.22,0.13,1.46
"35",0.769739200000001,0.797753000000001,0.933037800000002,0.976345600000004,1.3310346,1.0163568,1.164135,3.44812860000002,1.3769604,1.51295880000001,0.977480600000003,0.939798400000001
"36",1.0134432,1.0746028,0.934456800000001,0.7024888,0.844611600000001,1.110098,1.69639420000001,0.938469800000001,3.15903400000003,1.269121,1.1410462,1.0512594
"38",0.67,0.51,0.41,0.3500032,0.39,0.28,0.3500012,0.0400114000000001,1.46,0.55,0.31,0.71
"39",1.0897212,1.2363924,0.786692400000001,0.854920000000001,1.0170488,3.12767160000002,1.2688458,1.0977952,1.3217336,1.4247162,0.8560624,0.954414600000001
"40",0.67,0.91,0.2400242,0.24,0.59,0.32,0.0800086,0.2000076,1.06,1.1,0.2200168,0.71
"7",0.995591000000005,1.10945780000001,1.16093280000001,1.31556380000001,1.36738000000001,1.09142500000001,6.01842600000003,1.099847,1.094162,1.79649200000001,2.00135560000001,1.35755420000001
"8",0.87,0.437409200000001,0.441089000000001,0.415212400000002,0.495635400000004,0.636566000000001,1.4007716,0.696720400000007,0.980004,1.38,0.4363576,1.14
"9",0.9808368,0.628010800000006,0.83431520000001,0.626905600000008,1.48676280000003,1.22935740000001,1.56385800000001,1.20049220000002,1.42311560000001,1.51096300000002,1.1050742,0.895910800000001
"10",1.14060580000001,0.988638600000004,0.981835600000006,0.774620800000004,1.14985620000002,1.02024800000001,1.34006140000002,1.30615480000001,1.2675078,1.3643514,1.39109440000001,1.1316008
"37",0.974529200000004,1.1858766,0.827278200000001,0.868228800000002,1.066536,1.71557540000002,1.2257792,1.35198080000001,1.3325386,1.39567520000001,0.894442000000001,0.946005600000001
