stations,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
2,2.91753855,2.986399332,3.080666036,3.175079973,3.244343007,3.269896162,3.244892492,3.176031709,3.081765006,2.987351068,2.918088035,2.89253488
4,2.979163247,3.048024029,3.142290733,3.23670467,3.305967704,3.331520859,3.306517189,3.237656406,3.143389703,3.048975765,2.979712732,2.954159577
5,2.946333087,3.015193869,3.109460573,3.20387451,3.273137544,3.298690699,3.273687029,3.204826246,3.110559543,3.016145605,2.946882572,2.921329417
6,2.982493771,3.051354553,3.145621256,3.240035194,3.309298227,3.334851382,3.309847712,3.24098693,3.146720227,3.052306289,2.983043256,2.9574901
11,2.962694385,3.031555167,3.125821871,3.220235808,3.289498842,3.315051997,3.290048327,3.221187544,3.126920841,3.032506903,2.96324387,2.937690715
12,2.970118232,3.038979015,3.133245718,3.227659656,3.296922689,3.322475844,3.297472174,3.228611392,3.134344688,3.039930751,2.970667717,2.945114562
13,3.016998803,3.085859585,3.180126289,3.274540226,3.34380326,3.369356415,3.344352745,3.275491963,3.181225259,3.086811321,3.017548288,2.991995133
15,3.003596678,3.072457461,3.166724164,3.261138102,3.330401135,3.35595429,3.33095062,3.262089838,3.167823134,3.073409197,3.004146163,2.978593008
16,3.058503204,3.127363986,3.22163069,3.316044627,3.385307661,3.410860816,3.385857146,3.316996363,3.22272966,3.128315722,3.059052689,3.033499534
18,3.039075919,3.107936701,3.202203404,3.296617342,3.365880375,3.391433531,3.36642986,3.297569078,3.203302375,3.108888437,3.039625404,3.014072248
19,3.005407664,3.074268446,3.16853515,3.262949087,3.332212121,3.357765276,3.332761606,3.263900824,3.16963412,3.075220183,3.005957149,2.980403994
20,3.096675764,3.165536547,3.25980325,3.354217188,3.423480221,3.449033376,3.424029706,3.355168924,3.26090222,3.166488283,3.097225249,3.071672094
21,3.050171254,3.119032036,3.213298739,3.307712677,3.37697571,3.402528865,3.377525195,3.308664413,3.214397709,3.119983772,3.050720739,3.025167583
22,3.081879617,3.150740399,3.245007103,3.33942104,3.408684073,3.434237229,3.409233558,3.340372776,3.246106073,3.151692135,3.082429102,3.056875947
23,3.105896744,3.174757526,3.26902423,3.363438167,3.4327012,3.458254356,3.433250685,3.364389903,3.2701232,3.175709262,3.106446229,3.080893074
24,3.056085988,3.12494677,3.219213473,3.313627411,3.382890444,3.408443599,3.383439929,3.314579147,3.220312443,3.125898506,3.056635473,3.031082317
25,3.14704523,3.215906012,3.310172715,3.404586653,3.473849686,3.499402842,3.474399171,3.405538389,3.311271686,3.216857748,3.147594715,3.122041559
26,3.081096498,3.14995728,3.244223984,3.338637921,3.407900955,3.43345411,3.40845044,3.339589657,3.245322954,3.150909016,3.081645983,3.056092828
28,2.826489501,2.895350284,2.989616987,3.084030925,3.153293958,3.178847113,3.153843443,3.084982661,2.990715957,2.89630202,2.827038986,2.801485831
29,2.83258415,2.901444932,2.995711636,3.090125573,3.159388606,3.184941762,3.159938091,3.091077309,2.996810606,2.902396668,2.833133635,2.80758048
30,2.849123688,2.917984471,3.012251174,3.106665112,3.175928145,3.2014813,3.17647763,3.107616848,3.013350144,2.918936207,2.849673173,2.824120018
32,2.886444035,2.955304818,3.049571521,3.143985459,3.213248492,3.238801647,3.213797977,3.144937195,3.050670491,2.956256554,2.88699352,2.861440365
33,2.918881036,2.987741818,3.082008522,3.176422459,3.245685493,3.271238648,3.246234978,3.177374196,3.083107492,2.988693554,2.919430521,2.893877366
34,2.946534555,3.015395337,3.109662041,3.204075978,3.273339011,3.298892167,3.273888497,3.205027714,3.110761011,3.016347073,2.94708404,2.921530885
35,2.941552166,3.010412948,3.104679652,3.19909359,3.268356623,3.293909778,3.268906108,3.200045326,3.105778622,3.011364685,2.942101651,2.916548496
36,2.973848344,3.042709126,3.13697583,3.231389768,3.300652801,3.326205956,3.301202286,3.232341504,3.1380748,3.043660863,2.974397829,2.948844674
38,2.930133553,2.998994335,3.093261039,3.187674976,3.25693801,3.282491165,3.257487495,3.188626712,3.094360009,2.999946071,2.930683038,2.905129883
39,2.939356772,3.008217555,3.102484258,3.196898196,3.266161229,3.291714384,3.266710714,3.197849932,3.103583228,3.009169291,2.939906257,2.914353102
40,2.997615722,3.066476504,3.160743208,3.255157145,3.324420179,3.349973334,3.324969664,3.256108881,3.161842178,3.06742824,2.998165207,2.972612052
7,2.938041591,3.006902373,3.101169076,3.195583014,3.264846047,3.290399203,3.265395532,3.19653475,3.102268047,3.007854109,2.938591076,2.91303792
8,2.97815056,3.047011342,3.141278046,3.235691983,3.304955017,3.330508172,3.305504502,3.23664372,3.142377016,3.047963078,2.978700045,2.95314689
9,3.040696867,3.109557649,3.203824352,3.29823829,3.367501323,3.393054479,3.368050808,3.299190026,3.204923323,3.110509385,3.041246352,3.015693196
10,2.945571777,3.014432559,3.108699263,3.2031132,3.272376234,3.297929389,3.272925719,3.204064937,3.109798233,3.015384295,2.946121262,2.920568107
37,2.95404456,3.022905342,3.117172046,3.211585983,3.280849017,3.306402172,3.281398502,3.21253772,3.118271016,3.023857078,2.954594045,2.92904089
