"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",1.159646225,1.09849871515152,1.29030880635358,1.1,1.30046602711737,1.3383897192,1.832,1.4592,1.5568,1.6509448896,1.90562103509123,1.3677688256
"4",1.1,0.980795640623295,1.1008,0.94,1.2828,1.45985618461539,1.8888,1.60760383699585,1.81033927109949,1.42009609230769,1.43781020077476,1.1896
"5",1.1388,0.978584333333332,1.1796,0.9884,1.3,1.38,1.69077203187908,1.46,1.54,1.422,1.49871135662596,1.3
"6",1.1012,0.9684,1.1,0.94,1.3,1.38,1.73,1.5208,1.74383462915915,1.4204,1.47041288616037,1.2948
"11",1.28052061477273,1.01366530979341,1.1,1.06,1.34,1.378,1.73000111942446,1.46,1.54,1.5008,1.52697588976563,1.32407612470545
"12",1.1404,1.01928387236566,1.0624,1.06,1.3048,1.33075030139978,1.6524,1.4624,1.54,1.41894031609904,1.6448,1.37750934039935
"13",1.1004,0.9742,1.06,0.9338,1.3,1.38,1.69912855668287,1.5403,1.8604,1.50003257728792,1.3888,1.2072
"15",1.1376,0.980579594297872,1.06,0.94,1.34,1.36916740773077,1.6852,1.5,1.6056,1.42,1.3708,1.2844
"16",1.1002,1.0268,1.1,0.943,1.38,1.4616,1.69251551177617,1.46,1.9988,1.42,1.30155621149192,1.1796
"18",1.17556900651709,1.0616,1.06,0.9232,1.34,1.4556,1.69328208817035,1.46,2.0136,1.42,1.31569997480433,1.30509118853544
"19",2.0064,1.1384,1.1,1.0208,1.344,1.5,1.69146197625276,1.46,1.5535,1.4828,1.4012,1.4552
"20",1.14355943058652,1.068,1.06,0.9318,1.34,1.4644,1.69999720492285,1.46,2.01,1.4204,1.30096311189854,1.30048097142857
"21",1.2536,1.0976,1.06,0.94,1.346,1.4548,1.6784,1.46,1.8536,1.42,1.33958798108919,1.38992898440625
"22",1.17505515051713,1.082,1.06,0.9244,1.34,1.452,1.69442456066259,1.46,2.0128,1.4356,1.30734658241888,1.3329710256678
"23",1.16694006491248,1.1064,1.0632,0.929,1.3,1.4416,1.71984278780932,1.422,2.0264,1.4888,1.3,1.39531341034678
"24",1.40434853645681,1.0984,1.06,0.982,1.3676,1.46,1.67563998730159,1.46,1.75303044897651,1.4208,1.352,1.42
"25",1.14351424978004,1.0976,1.06,0.9234,1.34,1.46,1.70114917705542,1.46,2.0492,1.4436,1.30010744545455,1.32521599317511
"26",1.4184,1.1348,1.0996,1.0544,1.38,1.4624,1.6008,1.54,1.98,1.456,1.4136,1.478
"28",1.242,1.0821,1.0248,0.9398,1.26,1.33512544252836,1.5,1.3332,1.4588,1.54903509460576,1.18370834566544,1.1828
"29",1.18,1.01998668636364,0.984,0.9268,1.2596,1.26,1.5513,1.32,1.4948,1.4734526425,1.15111895787858,1.18
"30",1.1844,1.01939927095982,1.0164,0.938,1.2344,1.26,1.5471,1.3024,1.5004,1.46,1.21618555714286,1.22
"32",1.18,0.99857793641803,1.028,0.94,1.20402437666667,1.2588,1.5406,1.3024,1.5084,1.4592,1.26,1.18
"33",1.21046935714286,1.02,1.1,0.986,1.29256819770393,1.3,1.71257981068053,1.38,1.65,1.41624610081169,1.42699972765957,1.35319293518684
"34",1.18,0.980103026666666,1.1,0.98,1.2996,1.3,1.68116288071348,1.4268,1.5912,1.42,1.31391157051901,1.3325907378373
"35",1.1,1.00893652024571,1.06,0.98,1.34,1.2992,1.6304,1.5688,1.61,1.40596233439225,1.26,1.17
"36",1.18,1.0568,1.1,0.9736,1.26,1.2964,1.54,1.33941224149962,1.538,1.31658092224027,1.26,1.1807
"38",1.114,1.0584,1.02,0.94,1.3,1.3,1.65,1.3956,1.61,1.46,1.26,1.18
"39",1.1136,1.1,1.0256,0.98,1.3,1.46,1.61,1.3544,1.5746,1.46,1.2374,1.18
"40",1.18,1.06,1.0432,0.94,1.3112,1.33110424049079,1.65,1.3804,1.6244,1.4572,1.26,1.18
"7",1.14975879777778,1.02951949106564,1.26460595239538,1.05193609190476,1.29954539232804,1.33896313983533,1.73726686352787,1.46,1.5565,1.60142155216596,1.69800705724849,1.30915800993555
"8",1.1016,0.972,1.1,0.94,1.3,1.38,1.73000841846154,1.51682100000001,1.7456846063394,1.4204,1.47297687435467,1.29502266666666
"9",1.1,1.00033568978981,1.1,0.94,1.34,1.46,1.69669851513826,1.4656,1.88090081818183,1.4208,1.34646930672853,1.18
"10",1.11681010190476,0.996407480185143,1.12970729329004,0.952691804999992,1.26066119999999,1.32971436202037,1.69888995596075,1.46,1.5403,1.4216,1.56230803809523,1.3
"37",1.1072,1.1,1.036,0.98,1.3,1.381547,1.61,1.38,1.5956,1.46,1.2584,1.1788
