"","1","2","3","4","5","6","7","8","9","10","11","12"
"2",0.9124,2.17,2.09,2.05,1.14,1.26,11.81,1.1432,1.0568,3.82,3.46,1.38
"4",0.8296,0.7082,1.34,0.6764,1.14,2.01,6.73,2.64,6.73,1.42,1.18,0.892
"5",2.4,0.79,1.69,0.91,1.22,2.91,1.3106,1.38,1.54,1.42,1.26,1.3
"6",0.9377,0.8654,0.9688,0.8198,1.0284,1.3354,1.6209,1.4396,1.0098,1.38,1.0974,1.14
"11",2.01,0.8076,2.36,1.06,1.34,1.3,2.24,1.38,1.54,3.58,1.1113,1.3008
"12",1.06,0.839,1.02,2.01,1.22,1.14,1.3802,1.65,1.02,1.0624,2.09,1.65
"13",0.94,0.919,0.9395,0.7017,0.9938,1.1072,1.4715,1.5738,1.0538,1.57,1.0069,0.9103
"15",0.8901,0.87,0.9411,0.782,1.221,1.1554,1.474,1.1168,1.046,1.02,1.0501,1.1
"16",0.87,0.7249,1.1,0.91,2.64,3.07,1.69,1.26,2.09,1.26,1.3,0.87
"18",0.978,0.9128,0.8684,0.8519,1.2392,0.9777,1.4426,0.9603,2.05,0.9832,1.02,0.91
"19",2.13,1.14,1.06,0.9206,1.3166,1.97,1.73,1.42,1.26,2.6,1.38,1.46
"20",0.98,0.9796,0.9341,0.8036,1.4312,1.4864,1.5,1.2872,1.2238,1.0476,1.0376,0.8464
"21",1.3496,1.0393,0.8332,1.1007,1.46,1.4312,1.4262,1.1134,1.0601,0.9285,0.87,1.06
"22",1.1176,1.0216,0.9632,0.965,1.4472,1.1868,1.4912,1.0167,1.85,1.028,0.9452,0.9592
"23",1.14,1.46,1.02,0.7332,1.1494,1.42,1.85,0.9044,2.05,3.23,1.0224,1.42
"24",1.878,1.4343,1.0264,0.9732,1.58,1.5668,1.3499,1.4707,1.086,1.0608,0.9842,1.066
"25",1.14,1.4752,1.006,0.8974,1.2598,1.4276,1.4976,1.1197,2.05,1.0601,0.9071,1.0069
"26",1.97,1.93,0.94,1.69,1.38,1.5,1.26,2.8,3.98,1.42,0.9421,1.57
"28",3.98,1.1,0.7901,0.71,1.26,1.46,1.5,1.3,1.2204,2.09,1.1,1.18
"29",0.792,0.9095,0.7903,0.71,0.9162,1.0648,1.4116,1.216,0.9453,0.9449,0.91,0.7717
"30",0.9562,0.8231,0.8061,0.7324,0.7121,0.9864,1.1958,1.0871,0.9512,1.14,0.8881,1.22
"32",0.8147,1.02,0.7156,0.7223,0.7104,0.7868,0.944,0.825,0.94,0.9158,0.94,0.763
"33",1.42,0.9404,1.1,0.94,0.9408,1.14,2.36,1.1004,2.01,1.1416,2.09,3.19
"34",1.2948,0.8879,1.1412,1.0236,1.2225,1.2886,2.075,1.2424,1.26,1.22,1.0727,1.46
"35",0.8424,0.8601,0.98,0.94,1.46,1.1,1.3404,4.72,1.61,1.26,0.952,1.0608
"36",1.18,0.7673,1.14,0.7208,0.8824,1.19,1.54,0.9561,1.5,1.22,1.26,1.0628
"38",0.94,1.1826,0.9019,0.9773,1.0834,2.6588,1.6096,1.3004,1.46,1.1318,0.9092,0.8758
"39",0.94,1.19,0.87,0.98,1.08,3.15,1.61,1.3,1.3492,1.69,0.91,1.02
"40",0.9944,1.0988,0.9357,0.9133,1.3551,1.4266,1.5364,1.2784,1.1159,1.1,0.9013,0.8918
"7",1.1,1.3,0.9447,0.7562,0.9832,1.0399,1.3462,1.38,1.42,1.38,1.89,1.14
"8",0.9377,0.8654,0.9688,0.8198,1.0284,1.3354,1.6209,1.4396,1.0098,1.38,1.0974,1.14
"9",0.9408,0.8801,1.0244,0.9056,1.4584,1.48,1.6812,1.54,2.014,1.57,1.2692,0.9119
"10",1.1,1.3,0.9052,0.7196,0.8906,1.0392,1.3832,1.38,1.42,1.38,1.89,1.14
"37",0.9464,1.185,0.917,0.9776,1.1213,2.7055,1.61,1.3097,1.3412,1.6785,0.91,1.026
